Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
4XwjWJftbnERGgJedSKL8ehcvjCqTfHiRBuwussaoN6UZwWydWJrfXa6JKZRMbhEXfuw7GBqh5ngwQLGeuCVmcr1,1741410355,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,BKU5BtaiHjUb4RWtk5k2JT85THv3E3YmAUk9tNjH7Mz6,64990000000,out,9144.09,9,SOL
3WNkT2dQvmW3sTYxAZharr5WJmrWdkVCUnpgT9Gt74XYgqPrF1ifzY4uibpCDx5qmkYU3vdTpHTrFovUo1iibNCH,1741404183,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,HNQ9uifxqyJpEyF2JunV7aPjnSNgJ8d1nt9sa8e5H94o,99990000000,out,13867.61,9,SOL
5jnhsUAmzUw7sc62tExPcpMfRwsnsyyDndYPCFm9pdtRsWsKdFjrdzoCWir4uMvgpzgqPVYcukMj2ufwkju3b67C,1741404131,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,BKVVTEkjV3PmD2qmBh6mwWibdnQhae9xjNTYRApwBgVm,99990000000,out,13867.61,9,SOL
4tsGmref5TZckGvkp7Ec8G5SSykxGdXBGYoGpiEaGFxFTNWmgJwZ2xGAspa7CqiwkbF5uv8qLRpgBFQp88hU233r,1741376063,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,FziXQvvHnVVPxRizWkSMnKYTjrKp2ZM79FGLcebVu8di,77733028790,out,11512.26,9,SOL
5xLUiGeVqnbD25bJ5ECAnoVXwWqCz8D4LF1CJcDBLVsh7mRVpysQ8u23wGQRjx3jfDjyBEzA535CthNpyHjBVQn,1741371901,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2q3VocmwAckARcUDG1RQfbTspUPvP9LkUKfBMRQxrHVr,78305700000,out,11324.57,9,SOL
5Sz7gTjSWm9tQnZ6TzqN6Y6N3iLgSWmZ8j74X7UrqJhcvpRfZBC1RFRSQjQNftmC5qzVrcWwj5B4Y24NuUxkqzSE,1741367795,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,GU37RJUNW7WeeyGhoSDG6WLWEcZKd4GdwtG6dHUBivjW,71210722080,out,10089.85,9,SOL
61vGwA4tDHdsWq8eWRrFxV7mCdy4nLMxm7ENjoc4uQGNhDyafbyXq4boSbefy3f8Tv2ph3F69QjGKWXfKsPSJpXk,1741364757,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,4fV5mbyAoh8FAf3kieQuE4ZxSuxGpYqS54eh9RTcKugo,65000061000,out,9294.36,9,SOL
5yS3hDMrL3oibfB21NwR5gqCDSa5VT6Eabn8hXUHeRLKtsZ7PNVvHUoQLFx1oosQWVp4ZasLe8c224RjbVYp5Yb6,1741356455,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,AemNEJqm2RV1DZaYmCeipqENSK1ejeKArF9rrNK9PgSQ,83411000000,out,12038.71,9,SOL
hja7FvX3bG1ThsETpqnw16527qwrpTSpW4CBP5jofEZGmBcM9z95LWxtJFrbuVXEp8wmBMyTrnZrkvVXyCv6MUZ,1741354276,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,J44gtfCuAPv1dGH7iwNSL13JTDzDeQKMAzYz5kLHVMg7,94387935540,out,13526.74,9,SOL
49MEdApVJ3HFjZcGVpRXwM9zU5HDLjMzTginMf3JV29ZAh8Z7sQocuBzkQSmBWX5eRZH8heZyieCHqo3DJv1Lu71,1741343904,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,APKeES6yuALqPmPEzwMn2CmzcpScXrgAagdDXL2uj99B,78444800000,out,11219.18,9,SOL
